Index,Error_Value
131761,0.37814933
132308,0.31324098
132893,0.3239855
132932,0.31087875
135352,0.3223338
135836,0.32310456
136149,0.3102267
138300,0.32963157
138549,0.3275612
138588,0.33631754
138626,0.31588587
138666,0.31246817
138783,0.32224616
138804,0.3220304
138810,0.35255402
138821,0.33640862
138843,0.3455929
139180,0.3112631
139449,0.32069656
139738,0.3145734
139916,0.37651747
140128,0.3233976
140323,0.3218271
140405,0.35461566
140408,0.31988984
140446,0.34819654
140600,0.31538785
140641,0.32577968
140718,0.32244828
140756,0.325708
140799,0.311189
140896,0.31131652
140908,0.32405004
141103,0.31311786
141109,0.31611574
141298,0.3286064
141459,0.34887242
141493,0.3219371
141690,0.31694943
141885,0.32388183
141982,0.3261633
142071,0.31681684
142177,0.3438165
142372,0.33284113
142567,0.34070572
142762,0.3407948
142957,0.3385432
143056,0.40691087
143152,0.32769814
143247,0.37555438
143342,0.33999142
143446,0.33016387
143643,0.31908998
143734,0.38059044
143761,0.32577422
143838,0.32843554
144033,0.3249271
144228,0.31535336
144320,0.32240483
144420,0.35247257
144515,0.32755157
144618,0.32169208
144813,0.3299216
144909,0.3104971
145008,0.318775
145203,0.3381256
145398,0.31635308
145587,0.36411658
145595,0.3132994
145744,0.32298964
145790,0.31321618
145985,0.31697103
146180,0.31009868
146249,0.37347087
146289,0.31296033
146329,0.3419028
146375,0.3140496
146570,0.31833425
146960,0.3117836
146991,0.3357348
147155,0.32129484
147350,0.34533074
147387,0.33375615
147547,0.33751437
147663,0.36102986
147742,0.34313986
147838,0.3135135
147937,0.33934805
148033,0.3144018
148128,0.31551293
148129,0.3884409
148146,0.3119947
148167,0.33104184
148224,0.34272358
148324,0.3969466
148419,0.35798562
148519,0.3825305
148714,0.3856558
148909,0.3840764
149004,0.36196646
149104,0.38686535
149299,0.38875437
149396,0.36625898
149496,0.39275858
149694,0.33236668
149889,0.31707457
150609,0.31669134
150745,0.31397688
150863,0.3569568
151272,0.3786949
151390,0.37712237
151428,0.34777933
152627,0.3153967
152822,0.3105636
152975,0.3139155
153112,0.32739428
153347,0.31539267
153502,0.32487467
153604,0.31486055
153994,0.31355706
154680,0.33818793
155170,0.4846732
155463,0.36152303
157300,0.3133876
158284,0.31154954
158677,0.3555027
158715,0.4255481
158742,0.32049382
158860,0.32434547
158910,0.32424152
158979,0.3109929
158990,0.3701496
159067,0.38788727
159073,0.31243336
159187,0.3304725
159264,0.34786418
159282,0.33878526
159302,0.36367807
159320,0.3426433
159360,0.35028988
159382,0.41697586
159458,0.31109098
159497,0.315416
159577,0.36614612
159595,0.32756725
159615,0.36303142
159654,0.38057244
159672,0.37553424
159692,0.40174076
159710,0.37276393
159810,0.3364537
159887,0.34850338
159905,0.33435366
159926,0.33995214
159944,0.35272247
159967,0.40955773
159985,0.37617552
160005,0.4147913
160023,0.32541433
160041,0.32409966
160236,0.31692663
160277,0.40083167
160295,0.3786375
160316,0.38358945
160511,0.35633734
160647,0.33175907
161213,0.31530672
162188,0.31397337
162219,0.3175556
162383,0.31322688
162478,0.31189185
162578,0.3222674
162769,0.31185424
162773,0.31195337
162964,0.3108808
162968,0.31985036
163065,0.3259476
163165,0.3349162
163262,0.32328945
163360,0.33277228
163555,0.34078816
163585,0.31999373
163785,0.34359032
164236,0.3127422
164339,0.32566783
164418,0.31452954
164736,0.311376
165166,0.33073863
165167,0.3172671
165246,0.31314108
165323,0.33004734
165358,0.3122787
165515,0.31487525
165559,0.3162538
165633,0.33168688
165671,0.31913733
165704,0.31157586
165710,0.34226742
165716,0.31545976
165748,0.3405886
165943,0.35810575
166023,0.35845625
166094,0.31525964
166289,0.3205517
166484,0.31524056
166597,0.32794696
166679,0.31777474
167071,0.31495377
167266,0.3130709
167532,0.31259537
167656,0.3206894
167845,0.31920287
167851,0.3604423
168046,0.31896356
168143,0.34453997
168241,0.33405694
168338,0.33460915
168436,0.32126576
168533,0.32409385
168631,0.3301175
168702,0.3563326
168728,0.32654977
168820,0.3500067
168828,0.38195696
168899,0.3375808
168925,0.32155877
169017,0.32425374
169023,0.32068154
169120,0.3208569
169218,0.32504693
169407,0.31685355
169413,0.3428714
169484,0.38071063
169510,0.32934296
169608,0.32105613
169705,0.34905025
169803,0.3488305
169998,0.32078153
170069,0.37824428
170095,0.32809192
170193,0.34245425
170226,0.34689575
170288,0.32338518
170388,0.34004357
170485,0.33547884
170583,0.31705895
170680,0.32044175
170780,0.3350075
170877,0.31493187
170975,0.34478492
171072,0.31197646
171170,0.32399818
171365,0.33278272
171436,0.34129232
171554,0.33625737
171560,0.32207808
171755,0.36168677
171950,0.3562961
172047,0.32028067
172145,0.35368893
172178,0.32457808
172242,0.35397688
172340,0.35376745
172420,0.3359397
172438,0.3269674
172441,0.3380001
172461,0.33552817
172535,0.36052233
172615,0.40865228
172632,0.36573333
172694,0.414952
172730,0.3110119
172732,0.3488694
172748,0.3143484
172829,0.3421524
172927,0.35507724
173024,0.33894023
173116,0.31367654
173122,0.33807895
173219,0.35206485
173317,0.35893127
173414,0.35174465
173512,0.34937736
173609,0.3374221
173707,0.35121372
173804,0.33471692
173902,0.36279613
173999,0.33492208
174097,0.36752528
174194,0.35823396
174292,0.3596479
174389,0.3478924
174487,0.36890146
174584,0.35781348
174684,0.3239606
176055,0.31181735
176111,0.31632975
176244,0.33261916
176642,0.3153884
176837,0.32135418
177032,0.315455
177227,0.32291132
177264,0.33367923
177282,0.3506134
177344,0.31792668
177420,0.31967592
177557,0.31289354
177634,0.36022967
177714,0.3259986
180612,0.31887332
181019,0.35211918
181214,0.35203877
181409,0.35653782
181799,0.3585397
181804,0.3171244
182204,0.3108307
182225,0.35790265
185703,0.35482356
186588,0.34764507
186888,0.31572494
186978,0.34744275
187017,0.4037727
187097,0.37407836
187135,0.3936282
187212,0.34830627
187250,0.328104
187330,0.31591558
187368,0.41674203
187407,0.35936216
187421,0.3506445
187457,0.35474303
187462,0.31979713
187539,0.33112776
187578,0.32148883
187601,0.38825062
187652,0.32025522
187657,0.33240184
187696,0.32185355
187734,0.3293177
187766,0.32159996
187796,0.37192574
187811,0.32760614
187865,0.3102159
187968,0.33548188
188029,0.31037402
188042,0.34485054
188086,0.3131858
188156,0.3298363
188281,0.32262993
188354,0.31839725
188398,0.3122536
188734,0.37015954
188907,0.34364742
189329,0.31342804
189719,0.32135975
189914,0.32919332
189922,0.3339342
190109,0.32846442
190206,0.31318477
190306,0.34429705
190391,0.38055277
190394,0.36315578
190468,0.3232511
190501,0.35858086
190507,0.34057772
190545,0.35716006
190586,0.38641408
190598,0.3101203
190625,0.34997603
190663,0.32395408
190696,0.36125186
190702,0.35853016
190740,0.3593165
190793,0.31658515
190820,0.35024616
190891,0.34382367
190897,0.32404444
190976,0.35730085
191053,0.3287588
191086,0.3645156
191476,0.33403474
191671,0.31734306
191918,0.31587288
192061,0.31723943
192453,0.32348645
192550,0.32373497
192648,0.3165568
192843,0.31786907
192940,0.31396276
193233,0.31989047
193428,0.3234699
193525,0.32513425
193720,0.32898882
193818,0.32366002
193995,0.33396164
194013,0.336755
194110,0.3219128
